"dialogue_num","narrative_num","clause_num","label","text"
"arg1","4","0","Orientation","S1 and S2 are talking about what marriage means to the government."
"arg1","4","1","Evaluation","S1 says his marriage has nothing to do with the government."
"arg1","4","2","Action","S2 believes "
"arg1","4","3","Evaluation","that marriage is one of the foundations of social stability."
"arg1","4","4","Orientation","S1 and S2 are both not surprised if the government gets involved in marriage."
"arg1","4","5","Evaluation","S2 is upset that Christians are demanding the government to ""get out of marriage"" because gay people want to get in it."
"arg1","4","6","Evaluation","He believes the government does not need to get involved with the regulation and support of marriage "
"arg1","4","7","Evaluation","and why the society should prevent it."
"arg1","4","8","Evaluation","S1 believes the government getting out of marriage is not a bad idea."
"arg1","4","9","Action","S1 and S2 start arguing about marriage benefits between single people and married."
"arg1","4","10","Action","S1 argues "
"arg1","4","11","Evaluation","government support of marriage is unfair to single people "
"arg1","4","12","Action","and S2 argues "
"arg1","4","13","Evaluation","single people do not have the same issues as married people."
"arg1","4","14","Orientation","They give examples of their own married and single life."
"arg1","4","15","Action","They both compare marriage to marriage to woods and trees.  "
"arg2","0","0","Orientation","This is about gay marriage."
"arg2","0","1","Evaluation","S1 seems to believe that someone is making religion into law by saying marriage should be between a heterosexual couple."
"arg2","0","2","Action","S2 is arguing "
"arg2","0","3","Evaluation","that S1's point is not very valid "
"arg2","0","4","Evaluation","because S1 is not understanding "
"arg2","0","5","Evaluation","that they are not using the persons perspective."
"arg2","0","6","Action","S1 believes "
"arg2","0","7","Evaluation","that that person is trying to hurt them, "
"arg2","0","8","Action","while S2 is saying "
"arg2","0","9","Evaluation","that the person may not necessarily be that way "
"arg2","0","10","Evaluation","and that the person may be arguing for what they believe to be greater for society, based on their own perspective."
"arg2","0","11","Orientation","S1's religious view of marriage is based on two people's love for each other, "
"arg2","0","12","Evaluation","while the other person believes its between a man and woman."
"arg2","0","13","Action","S2 says "
"arg2","0","14","Evaluation","S1's argument is empty "
"arg2","0","15","Evaluation","and that S1 is not showing how the other person is being hurt by gay marriage."
"arg2","0","16","Evaluation","S2 thinks S1 is not understanding the overall perspectives and just focusing on their own needs."
"arg2","0","17","Action","S1 states "
"arg2","0","18","Evaluation","that the person's religion put into law affects peoples ability to marry if they are gay, "
"arg2","0","19","Evaluation","but that S1's religion on marriage put into law would not affect marriage for anyone."
"arg2","1","0","Orientation","S1 and S2 are discussing gay marriage in the context of an unknown ""she"" that is pushing a law to ban gay marriage."
"arg2","1","1","Action","S1 believes "
"arg2","1","2","Evaluation","that her religious freedom is being persecuted from people against gay marriage."
"arg2","1","3","Evaluation","S1 believes this will result in her family not having legal protection."
"arg2","1","4","Evaluation","S2 doesn't believe that S1's religious freedom is being persecuted "
"arg2","1","5","Evaluation","because she is still bale to hold religious ceremonies."
"arg2","1","6","Evaluation","S2 believes the same argument can be made fro m her perspective."
"arg2","1","7","Orientation","S1's believe of marriage is "
"arg2","1","8","Orientation","that it should be based on love and not on sex."
"arg2","1","9","Action","S2 argues "
"arg2","1","10","Evaluation","that the religious freedom argument could be used in any format to justify any action."
"arg2","1","11","Action","S1 is angered "
"arg2","1","12","Evaluation","that the religious freedom of another person will go into law and bar her from marriage "
"arg2","1","13","Evaluation","so she can sustain her heterosexual privilege."
"arg2","1","14","Action","S2 disagrees and thinks ""she"" is doing what she thinks is before society."
"arg2","1","15","Evaluation","S1 and S2 seem to get annoyed with each other by the end of dialog."
"arg2","2","0","Action","(S1) says "
"arg2","2","1","Evaluation","that his religious freedom is being ignored by a politician attempting to make her religious beliefs law."
"arg2","2","2","Orientation","This law limits legal protection of gay couples "
"arg2","2","3","Orientation","and it is not use to protect marriage but heterosexual privilege."
"arg2","2","4","Action","(S2)  questions how the politicians view is imposing on (S1) religious freedom."
"arg2","2","5","Action","(S1) responds "
"arg2","2","6","Evaluation","that he believes "
"arg2","2","7","Evaluation","that marriage should be between two people who love each other and not her/politicians belief that marriage should be between man and woman."
"arg2","2","8","Action","However, (S2) says "
"arg2","2","9","Evaluation","that the argument surrounding religious freedom is an empty argument "
"arg2","2","10","Evaluation","because anyone can argue for his or her beliefs using religion."
"arg2","2","11","Action","(S1) says "
"arg2","2","12","Evaluation","that gay marriage doesn't violate her/politicians rights of heterosexual privilege, entitlement "
"arg2","2","13","Evaluation","since she is not protecting marriage but her beliefs."
"arg2","2","14","Action","(S2) questions how (S1) religious rights are taken away or harmed."
"arg2","2","15","Orientation","(S1) and (S2) discuss about whose religious belief is better for society."
"arg2","2","16","Action","(S1) responds "
"arg2","2","17","Evaluation","that the her/politicians interest is not part of his interests and or society's "
"arg2","2","18","Evaluation","and does not hurts him in any way."
"arg2","3","0","Orientation","S1 says that someone, ""her"", is trying to put their religious beliefs into law that goes against the religious beliefs of S1."
"arg2","3","1","Evaluation","The law would bar the family of S1 from legal protections but would not affect her."
"arg2","3","2","Action","S1 believes "
"arg2","3","3","Evaluation","that she isn't protecting marriage "
"arg2","3","4","Evaluation","but preserving her heterosexual privilege."
"arg2","3","5","Evaluation","Her religious belief is that marriage should be between a man and a woman "
"arg2","3","6","Action","but S1 believes "
"arg2","3","7","Evaluation","that marriage should be between two people in a loving relationship regardless of sex."
"arg2","3","8","Evaluation","If she put her religious belief into law it would hurt S1 "
"arg2","3","9","Evaluation","but if the religious views of S1 are put into law she would still be able to choose who she wanted "
"arg2","3","10","Evaluation","and S1 would be able to choose whomever."
"arg2","3","11","Evaluation","She is trying to keep gay people out of marriage."
"arg2","3","12","Evaluation","S2 understands the perspective of S1 but does not think it is a valid argument."
"arg2","3","13","Action","S2 holds "
"arg2","3","14","Evaluation","that either if either religious belief were put into law "
"arg2","3","15","Evaluation","that it would infringe on the other's beliefs."
"arg2","3","16","Action","S2 claims "
"arg2","3","17","Evaluation","that S1 has not shown how the religious beliefs would be taken away from such a law."
"arg2","3","18","Evaluation","It can be argued in other ways "
"arg2","3","19","Evaluation","but the idea of not giving gays marriage benefits is imposing on religious freedom is an empty argument."
"arg2","3","20","Action","S2 counters S1 by saying "
"arg2","3","21","Evaluation","that it is impossible to know whether or not she is trying to turn religious belief into law."
"arg2","3","22","Evaluation","It is impossible to know or to police someone's real motives."
"arg2","4","0","Orientation","S1 is talking about a female who is ignoring S1's religious freedom and barring his family from legal protections."
"arg2","4","1","Action","S2 questions to how she is impeding S1 from his religious freedom and argues "
"arg2","4","2","Evaluation","that she isn't trying to take away his right from a religious ceremony."
"arg2","4","3","Action","S1 says the woman's religious belief is that marriage should be between a man and a woman, "
"arg2","4","4","Evaluation","and S1's religious belief is that marriage can be between any two people that love each other regardless of their gender."
"arg2","4","5","Evaluation","If the woman's religious belief gets incorporated in to the law, S1 will not be able to marry the person of his choice "
"arg2","4","6","Evaluation","but she will still be able to marry regardless of the law."
"arg2","4","7","Evaluation","The woman is just trying to keep gay people out of marriage to preserve her heterosexual privilege."
"arg2","4","8","Action","S2 argues "
"arg2","4","9","Evaluation","that either one of them can be impeding on the others religious freedom."
"arg2","4","10","Action","S1 does not give in and keeps arguing "
"arg2","4","11","Evaluation","that she is trying to turn her religious belief into law and bar him from getting married.  "
"arg3","0","0","Orientation","S1 and S2 are talking about how Democracy is based on majority rule and whether or not its fair."
"arg3","0","1","Evaluation","S1 believes it is completely unfair that gay marriage be dismissed or disliked "
"arg3","0","2","Action","and S2 argues "
"arg3","0","3","Evaluation","that no matter what S1 believes is right or wrong, "
"arg3","0","4","Evaluation","the majority of people control what is normal in our society."
"arg3","0","5","Evaluation","That if S1 is only towards the rights of gay people it is completely understandable for this lady to be in belief that marriage as is is fine."
"arg3","0","6","Action","S2 believes "
"arg3","0","7","Evaluation","that S1's argument is not a legitimate viewpoint "
"arg3","0","8","Evaluation","because S1 has no justification that this lady hates gays."
"arg3","0","9","Action","S1 believes "
"arg3","0","10","Evaluation","that because this lady is not in favor of gay marriage, the lady is anti-gay."
"arg3","0","11","Action","S1 is taking an aggressive approach by saying they will talk to bible churches and disrupt them "
"arg3","0","12","Evaluation","because she feels like she has no place in society."
"arg3","0","13","Action","S1 thinks "
"arg3","0","14","Evaluation","that the majority of people is enslaving their people by not allowing gay rights, "
"arg3","0","15","Action","but S2 argues "
"arg3","0","16","Evaluation","that it happens that way and it changes over time."
"arg3","1","0","Action","S1 does not believe S2 has answered her question of how equal marriage hurts any heterosexual."
"arg3","1","1","Action","S2 believes the point has been made "
"arg3","1","2","Evaluation","because different laws affect different people."
"arg3","1","3","Action","S2 attacks S1 by calling their argument ""silly"" "
"arg3","1","4","Evaluation","because it violates the First amendment rights."
"arg3","1","5","Action","S2 remarks that S1 is only concerned with the rights of gay and the anti-gay Christianity."
"arg3","1","6","Action","S1 specifically names a woman in particular to admit her discrimination."
"arg3","1","7","Action","S1 expresses "
"arg3","1","8","Evaluation","that the rights of gays is their first concern and protection from church."
"arg3","1","9","Action","S1 threatens to respond with similar actions against the church, like protesting ceremonial events and church services."
"arg3","1","10","Action","S2 urges S1 to allow the democratic process to decide the issue, "
"arg3","1","11","Evaluation","believing the anti-gay movement may also have legitimacy."
"arg3","1","12","Action","S1 questions the majority rule ideology "
"arg3","1","13","Evaluation","because of incidents in the past like slavery and concentration camps., "
"arg3","1","14","Action","and once again calls out the women."
"arg3","1","15","Evaluation","S2 ends by stating those would not be possible today because of the 13th amendment."
"arg3","2","0","Action","(S1) states how can gay marriage hurt politicians or anyone else?"
"arg3","2","1","Action","(S2) says "
"arg3","2","2","Evaluation","that there are laws that hurt all kinds of peoples and argues about violation of the First Amendment by imposing someone's belief over another."
"arg3","2","3","Action","(S1) argues "
"arg3","2","4","Evaluation","that he is only concern with gay peoples rights "
"arg3","2","5","Action","and says that the politician wants gays to remain as second-class citizens."
"arg3","2","6","Action","Argues that politician/she is discriminating and protecting her heterosexual privilege."
"arg3","2","7","Action","He also argues "
"arg3","2","8","Evaluation","that not accepting gay marriage is punishment to him, his family and others."
"arg3","2","9","Action","(S2) He argues about the kind of democracy in where majority of the people decide what best for society "
"arg3","2","10","Evaluation","and how being anti-gay is a right of the First Amendment."
"arg3","2","11","Evaluation","Is a gay person is allowed to have the freedom, so does he who and others who may not agree."
"arg3","2","12","Action","(S1) then gives the example that not just because majority rules "
"arg3","2","13","Evaluation","it means that it's a good thing."
"arg3","2","14","Orientation","For example, enslaving people was accepted in previous societies."
"arg3","2","15","Action","(S2) argues "
"arg3","2","16","Evaluation","that although previous societies had legal rights to enslave people "
"arg3","2","17","Evaluation","but that doesn't mean that it makes those decisions all the time "
"arg3","2","18","Evaluation","and that is like gay marriage."
"arg3","3","0","Action","S1 asks S2 how equal marriage would hurt someone, ""her"", or anyone else."
"arg3","3","1","Evaluation","S1's way of equal marriage would not S1 or her."
"arg3","3","2","Evaluation","S1 is only concerned with gay rights "
"arg3","3","3","Evaluation","and will talk people out of attending bible churches."
"arg3","3","4","Orientation","S1 will try to legally disrupt any of the fundraising activities that they have going on, "
"arg3","3","5","Orientation","protest their weddings "
"arg3","3","6","Orientation","and their services."
"arg3","3","7","Evaluation","Once they crossed the line and enacted laws that hurt S1 and S1's family, then they have no place in society."
"arg3","3","8","Evaluation","The majority should not have the right to enslave their fellow citizens and send them to concentration camps."
"arg3","3","9","Evaluation","She should admit to her bigotry, discrimination and anti-gay views."
"arg3","3","10","Evaluation","S2 is glad "
"arg3","3","11","Orientation","that S1 abandoned a silly argument about the violation of the first amendment right, "
"arg3","3","12","Evaluation","but still does not see why only laws that do not cause harm should be enacted."
"arg3","3","13","Evaluation","S2 is surprised at S1's affinity for the harm principle "
"arg3","3","14","Evaluation","given that S1 has expressed being at war with evangelical anti-gay christianity."
"arg3","3","15","Action","S2 holds "
"arg3","3","16","Evaluation","that people should be about to legislate their views, "
"arg3","3","17","Action","and wants S1 to explain why that shouldn't be so with anti-gay people."
"arg3","3","18","Evaluation","In a democracy like ours people use the democratic process to have views enacted into law."
"arg3","3","19","Evaluation","If she is free to do this, then so is S1."
"arg3","4","0","Action","S1 questions to how equal marriages hurts the woman or any other heterosexual."
"arg3","4","1","Evaluation","The only person that gets hurt is S1."
"arg3","4","2","Evaluation","If equal marriage is incorporated into the law then nobody gets hurt."
"arg3","4","3","Action","S2 talks about what if a proposed law hurt someone "
"arg3","4","4","Evaluation","and that there are all kinds of laws that hurt all kinds of people."
"arg3","4","5","Action","S1 says he is only concerned with the rights of gay people."
"arg3","4","6","Action","He calls the woman evil "
"arg3","4","7","Evaluation","and that she should admit that she is anti-gay "
"arg3","4","8","Evaluation","and wants to protect her heterosexual privilege."
"arg3","4","9","Action","S2 believes "
"arg3","4","10","Evaluation","that S1 just cares about gay people "
"arg3","4","11","Evaluation","but has not shown why anti-gay people should not be able to legislate their view."
"arg3","4","12","Action","S2 says "
"arg3","4","13","Evaluation","that S1 and the woman both have their own opinions."
"arg3","4","14","Action","S1 asks "
"arg3","4","15","Evaluation","whether the majority should have the right to enslave their fellow citizens or lock people up in concentration camps."
"arg3","4","16","Action","S2 responds "
"arg3","4","17","Evaluation","saying the majority did have the right to enslave fellow citizens until the 13th amendment took place "
"arg3","4","18","Evaluation","and says that the majority wins in the united states. "
"arg4","0","0","Orientation","This seems to be an argument about gay rights "
"arg4","0","1","Orientation","and generalizing the political beliefs of people."
"arg4","0","2","Evaluation","According to S1, S2 talks about Paul Cameron and makes it seem as if he is the voice of the Republicans."
"arg4","0","3","Action","S1 argues "
"arg4","0","4","Evaluation","that it is not the case and one person who sides with a specific party doesn't represent the party."
"arg4","0","5","Action","S1 uses John Lennon as an example of this not being a proper way to generalize political views of parties, in his case the Democratic party."
"arg4","0","6","Action","S1 accuses S2 of making an assertion including the Republicans creating another Holocaust, "
"arg4","0","7","Evaluation","because of the generalization that S2 made."
"arg4","0","8","Action","S2 believes "
"arg4","0","9","Evaluation","that Paul Cameron's views are cited and used in many cases against gay rights "
"arg4","0","10","Evaluation","because most people do share the same views, "
"arg4","0","11","Evaluation","which S1 thinks otherwise."
"arg4","0","12","Action","S2 says "
"arg4","0","13","Evaluation","that most attacks on gay rights have cited Paul Cameron, even within the US Senate, "
"arg4","0","14","Evaluation","showing that he has a strong opinion in the Republican party, "
"arg4","0","15","Evaluation","or at least it seems so."
"arg4","1","0","Orientation","S1 and S2 enter a discussion about gay rights, "
"arg4","1","1","Orientation","but more specifically on the claims made by a certain Republican Party member: Paul Cameron."
"arg4","1","2","Action","S1 is angered "
"arg4","1","3","Evaluation","that S2 is making wide generalization about the Republican Party, "
"arg4","1","4","Action","and agrees "
"arg4","1","5","Evaluation","that Cameron is eccentric party member."
"arg4","1","6","Action","S2 believes "
"arg4","1","7","Evaluation","that since Republican Party members often use Cameron as citation for research and therefore most share his views "
"arg4","1","8","Evaluation","that gays are bad for the world and must be exterminated, like the Jews in the Holocaust."
"arg4","1","9","Action","S1 thinks "
"arg4","1","10","Evaluation","S2 is making a generalization on the entire party's based off one person."
"arg4","1","11","Action","S2 thinks this unfair "
"arg4","1","12","Evaluation","because Cameron is not apart of the Republican Leadership, "
"arg4","1","13","Evaluation","and that the views of Cameron are outdated with the views of Republicans today."
"arg4","1","14","Action","S1 compares this to quoting singer John Lennon against religion and attributing it to the entire Democratic Party."
"arg4","1","15","Action","S2 responds by connecting Cameron with George W. Bush, "
"arg4","1","16","Action","and believes "
"arg4","1","17","Evaluation","that if a party constantly uses the research of single person, then they must share the beliefs of that person."
"arg4","2","0","Action","(S1) starts talking about "
"arg4","2","1","Evaluation","how it's ridiculous to think "
"arg4","2","2","Evaluation","that republicans would send gays to concentration camps "
"arg4","2","3","Evaluation","like the Germans practiced in the Holocaust."
"arg4","2","4","Action","He talks about Paul Cameron a psychologist having nothing to do with politician's ideas or decisions."
"arg4","2","5","Action","He tries to assert "
"arg4","2","6","Evaluation","that republicans do not cite or reference Paul "
"arg4","2","7","Evaluation","because he is not a reliable source."
"arg4","2","8","Action","However,(S2) argues "
"arg4","2","9","Evaluation","that Paul is frequently referenced as an expert on the issue of gay marriage and rights."
"arg4","2","10","Action","He talks about the moral behind Paul's ""research"" "
"arg4","2","11","Evaluation","and how it's fraudulent."
"arg4","2","12","Action","(S1) then asks (S2) to stay on point and not divert the conversation."
"arg4","2","13","Action","He also states "
"arg4","2","14","Evaluation","that someone who may not be republican may hate gays "
"arg4","2","15","Evaluation","and that Republicans platform or party leadership does not has to do with Paul's views."
"arg4","2","16","Action","(S2) says that Paul's ""research"" is present in the debate over gay marriage."
"arg4","2","17","Action","(S2) also says "
"arg4","2","18","Evaluation","that Paul has been cited in virtually every legal brief filed opposing gay marriage."
"arg4","2","19","Action","(S1) says "
"arg4","2","20","Evaluation","that (S2) is generalizing while (S2) talks about family values."
"arg4","3","0","Action","S1 believes "
"arg4","3","1","Evaluation","that there's a big difference between possibility and likelihood."
"arg4","3","2","Action","S1 finds fault with the stance "
"arg4","3","3","Evaluation","that republicans would ship gay people to concentration camps."
"arg4","3","4","Action","S1 objects to bringing up  a statement by Paul Cameron , "
"arg4","3","5","Evaluation","as if Paul Cameron has anything to do whatsoever with Republican politics or leadership."
"arg4","3","6","Action","Matt is pulling some wild point out of his hat , saying "
"arg4","3","7","Evaluation","that because someone who may not even be a republican hates gays , "
"arg4","3","8","Evaluation","that republicans hate gays."
"arg4","3","9","Evaluation","I might as well have said "
"arg4","3","10","Evaluation","that since John Lennon attacked religion , then Democrats hate religion."
"arg4","3","11","Evaluation","It's about Matt's ridiculous generalizations and comments "
"arg4","3","12","Evaluation","and S1 holds that there is NO republican in leadership that would call for the extermination of gays."
"arg4","3","13","Action","S1 believes "
"arg4","3","14","Evaluation","that S2 is making ridiculous generalizations."
"arg4","3","15","Action","S2 believes "
"arg4","3","16","Evaluation","that S1 is defending Paul Cameron "
"arg4","3","17","Action","and states "
"arg4","3","18","Evaluation","that he is the single most frequently quoted "" expert "" cited by the GOP in ALL their attempts to limit the rights of gay people ."
"arg4","3","19","Orientation","Paul Cameron's research is cited in virtually every single attack on gay people in state after state after state legislature ."
"arg4","3","20","Orientation","It was presented in the "" debate "" about same-sex marriage in the U.S. friggin ' Senate ."
"arg4","3","21","Orientation","His name appears in the citations of virtually every legal brief filed by opponents of same-sex marriage ."
"arg4","3","22","Action","S2 is surprised "
"arg4","3","23","Evaluation","that reasonable people talk about Paul Cameron."
"arg4","3","24","Evaluation","S2 finds it laughable to try to defend the GOP when one of their admittedly most effective propaganda campaigns is to rally the "" family-values "" crowd against gay rights ."
"arg4","4","0","Evaluation","S1 is upset with Matt about making an assertion "
"arg4","4","1","Evaluation","that Republicans would send gays to concentration camps "
"arg4","4","2","Evaluation","and about a statement by psychologist Paul Cameron."
"arg4","4","3","Evaluation","Instead he should have linked someone in the Republican leadership saying those things."
"arg4","4","4","Orientation","Paul Cameron is a frequent target of gay pride movement for demonization."
"arg4","4","5","Action","S2 says "
"arg4","4","6","Evaluation","that Paul Cameron is the most frequently quoted ""expert"" cited by GOP in all their attempts to limit the rights of gay people."
"arg4","4","7","Action","S1 says the point is "
"arg4","4","8","Action","that Matt commented "
"arg4","4","9","Evaluation","that someone who may not even be a republican hates gays, "
"arg4","4","10","Evaluation","and that republicans hate gays."
"arg4","4","11","Action","He says it's not about Paul Cameron "
"arg4","4","12","Evaluation","but about Matt's ridiculous comments "
"arg4","4","13","Evaluation","and that no republican in leadership would call for the extermination of gays."
"arg4","4","14","Action","S2 argues "
"arg4","4","15","Evaluation","that Paul Cameron's research is cited in almost every single attack on gay people in state after state legislature."
"arg4","4","16","Action","S1 says to S2 "
"arg4","4","17","Evaluation","that he is making a ridiculous generalization "
"arg4","4","18","Action","while S2 replies "
"arg4","4","19","Evaluation","that he said S1 is probably right to assume "
"arg4","4","20","Evaluation","that some people were anti-religion. "
"arg5","0","0","Action","S1 States that the current definition of marriage specifically excludes homosexuals "
"arg5","0","1","Orientation","because the current definition is ""two people that are not underage, or opposite genders, same species, not closely related and not already married"" "
"arg5","0","2","Evaluation","and that gays want to be married under current definition."
"arg5","0","3","Evaluation","Believes that ability to reproduce is implied in definition."
"arg5","0","4","Action","S2 Claims S1's definition isn't only possible, "
"arg5","0","5","Evaluation","refers to lack of reproductive abilities of an elderly person and a younger person marrying."
"arg5","0","6","Action","S1 Refers to differences between cultural definitions of marriage and mating pairs or legal definitions of marriage."
"arg5","0","7","Action","S2 Ask who agve S1 right to define cultural meanings."
"arg5","0","8","Action","S1 Claims "
"arg5","0","9","Evaluation","that cultural meaning comes from observation "
"arg5","0","10","Evaluation","and that legal definition can be decided any way."
"arg5","0","11","Action","S2 Asks who gets to make that legal definition."
"arg5","0","12","Evaluation","Claims that those that oppose gay marriage are opposing something that harms no one and are trying to limit other's actions."
"arg5","0","13","Evaluation","S1 States that in America people vote on laws or those that make them and that is who gets to determine legality of different marriage concepts."
"arg5","1","0","Action","S1 argues "
"arg5","1","1","Evaluation","that marriage has a specific and deeply embedded definition within culture."
"arg5","1","2","Evaluation","Marriage is a formalized mating pair."
"arg5","1","3","Evaluation","Marriage's legal definition closely mirrors that definition."
"arg5","1","4","Orientation","Homosexual marriage has never been an explicit or implicit part of those definitions."
"arg5","1","5","Evaluation","Including it would make the definition of marriage inherently self-contradictory."
"arg5","1","6","Action","S2 argues "
"arg5","1","7","Evaluation","that S1 is exercising a subjective definition."
"arg5","1","8","Action","S2 notes that different members of society have different definitions of marriage."
"arg5","1","9","Evaluation","Further, there are instances of accepted marriage which violate S1's provided definitions."
"arg5","1","10","Evaluation","Instead, love, the emotional connection is what is most important."
"arg5","1","11","Action","S1 argues "
"arg5","1","12","Evaluation","that legal and cultural definitions are not the same."
"arg5","1","13","Evaluation","The cultural definition is what is important."
"arg5","1","14","Evaluation","Most associate marriage with producing offspring, "
"arg5","1","15","Evaluation","hence it is deemed important in the cultural definition."
"arg5","1","16","Action","S2 questions S1's authority to determine what is culturally important "
"arg5","1","17","Evaluation","and whether his cultural definition is appropriate for a legal definition."
"arg5","1","18","Evaluation","S1 says appropriateness is irrelevant."
"arg5","1","19","Evaluation","Cultural definitions have formed the root of all other definitions."
"arg5","1","20","Evaluation","The cultural definition of marriage has always been one male and female in monogamy."
"arg5","2","0","Orientation","S1 is focused on the definition of marriage and the cultural definition, both limiting marriage to heterosexual couples."
"arg5","2","1","Orientation","The cultural definition includes reproduction, "
"arg5","2","2","Action","he uses the term mating mating pairs."
"arg5","2","3","Action","He argues "
"arg5","2","4","Evaluation","that this definition automatically excludes homosexuals "
"arg5","2","5","Evaluation","because they cannot, without outside help, create a family."
"arg5","2","6","Action","He discusses other marriage outside of the norm-a young woman and older man- "
"arg5","2","7","Evaluation","as being less meaningful than those that fulfill the cultural definition."
"arg5","2","8","Evaluation","He sees it as the job of elected officials and the citizens to change the legal definition of marriage "
"arg5","2","9","Evaluation","if that is what the majority want."
"arg5","2","10","Action","S2 disagrees with and questions the cultural definition given by S1."
"arg5","2","11","Action","He feels "
"arg5","2","12","Evaluation","that the main factor in marriage is not reproduction but love and commitment between two individuals."
