,Dataset,Story,Reid,Thomas,Elahe,Agreement,Gold,Label,Narrative Clause
test,Reid,3,Orientation,Stative- Local Context,Evaluation,1,Stative- Local Context,Orientation,It was the end of the line for the Interpolers.
test,Reid,3,Orientation,Stative- Local Context,Orientation,2,Orientation,Orientation,"Their last show was on Friday, the first day of the festival."
test,Reid,3,Action,Action,Action,3,Action,Action,"I walked up on stage on Sunday to find this familiar little artifact, Interpol's keyboards."
test,Reid,3,Action,Action,Action,3,Action,Action,I sent Ally an email with a picture of it.
test,Reid,3,Action,Action,Action,3,Action,Action,He responded rather quickly suggesting that I just push it into a ditch and leave it there for future civilizations to ponder over.
test,Reid,3,Action,Stative - Implied Action,Stative- Local Context,1,Action,Action,"Now I'm back in my living room, digging my home and SF."
test,Reid,3,Orientation,Stative- Local Context,Stative- Local Context,2,Stative- Local Context,Orientation,"My neighbor, incidentally, is an extra from Mad Max,"
test,Reid,3,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,and I think that he is awesome.
test,Reid,3,Evaluation,Stative- Local Context,Evaluation,2,Evaluation,Evaluation,I have this elaborate fantasy that involves eating pizza with him on a merry-go-round.
test,Reid,3,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,Adieu.
train,Reid,4,Orientation,Orientation,Orientation,3,Orientation,Orientation,"We'd not mentioned to the Easter Seals staffers where Jonah is doing day camp that he reads and writes,"
train,Reid,4,Action,Evaluation,Orientation,1,Action,Action,so they were very fluttered when Jonah picked up a pen and a pad of paper
train,Reid,4,Action,Action,Orientation,2,Action,Action,"and proceeded to write, and write, and write."
train,Reid,4,Stative - Consequence,Stative- Local Context,Orientation,1,Stative - Consequence,Action,All the lyrics of the Arthur theme song.
train,Reid,4,Stative - Consequence,Stative- Local Context,Orientation,1,Stative - Consequence,Action,Comments on his wanting to go to one room or home or get in the truck or ...
train,Reid,4,Action,Action,Action,3,Action,Action,At home Jonah kept writing.
train,Reid,4,Action,Action,Action,3,Action,Action,I stopped and picked him up four journals at 50 cents each (wicked cheap) and a nice pen.
train,Reid,4,Action,Action,Action,3,Action,Action,"Later I found him reading a second course French text, page after page,"
train,Reid,4,Action,Action,Action,3,Action,Action,"and after an hour of that he was back writing, annotating his Cars coloring book with more words."
train,Reid,4,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,I'll have a lot of reading to do this evening to see where his mind's been.
train,Reid,5,Orientation,Action,Orientation,2,Orientation,Orientation,I've begun writing a non-mystery.
train,Reid,5,Orientation,Orientation,Orientation,3,Orientation,Orientation,"The research has consumed the last six months of my life, including field research, Internet research, and secondary source research."
train,Reid,5,Orientation,Action,Orientation,2,Orientation,Orientation,"That last month of researching (October, to be specific), I realized that I was no longer truly researching."
train,Reid,5,Orientation,Action,Orientation,2,Orientation,Orientation,I was hiding from writing.
train,Reid,5,Orientation,Evaluation,Orientation,2,Orientation,Orientation,The novel will be about a Lakota (western South Dakota Sioux) girl captured from her home and forced into an Indian boarding school in the early 1920s.
train,Reid,5,Orientation,Evaluation,Orientation,2,Orientation,Orientation,"I didn't go looking for this story,"
train,Reid,5,Orientation,Action,Orientation,2,Orientation,Orientation,"and the last few weeks, I've spent a lot of time wishing it hadn't found me."
train,Reid,5,Action,Action,Orientation,2,Action,Action,"It came to me in a dream,"
train,Reid,5,Stative- Local Context,Stative- Local Context,Orientation,2,Stative- Local Context,Orientation,as a few of my story ideas do.
train,Reid,5,Action,Action,Orientation,2,Action,Action,"I was visiting a friend in Wausau, Wisconsin, with my kids."
train,Reid,5,Action,Action,Action,3,Action,Action,"In the middle of the night, I sat up in the futon bed,"
train,Reid,5,Action,Action,Action,3,Action,Action,"pushed her cats off of me,"
train,Reid,5,Action,Action,Action,3,Action,Action,"and looked down at my son and daughter, who were sleeping on the floor."
train,Reid,5,Stative- Local Context,Stative- Local Context,Stative- Local Context,3,Stative- Local Context,Orientation,They were safe.
train,Reid,5,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,What had woken me up?
train,Reid,5,Action,Action,Action,3,Action,Action,"When my heartbeat slowed, the dream I had been having flooded back to me"
train,Reid,5,Action,Action,Action,3,Action,Action,and played on the far wall of the bedroom like a movie.
train,Reid,5,Action,Action,Action,3,Action,Action,I was watching a girl with black hair and skin the color of sand.
train,Reid,5,Action,Action,Action,3,Action,Action,"She was in a kitchen, hungry and looking for food."
train,Reid,5,Action,Action,Action,3,Action,Action,An older woman came in and argued with her.
train,Reid,5,Action,Action,Action,3,Action,Action,"She sent her back to her room, which was really a dormitory with bed after bed after bed of dark-haired girls."
train,Reid,5,Stative- Local Context,Stative- Local Context,Stative- Local Context,3,Stative- Local Context,Orientation,"The dream moved in real time,"
train,Reid,5,Action,Action,Action,3,Action,Action,"so the girls tossed in their sleep,"
train,Reid,5,Action,Action,Action,3,Action,Action,"some of them cried,"
train,Reid,5,Evaluation,Stative- Local Context,Stative- Local Context,2,Stative- Local Context,Orientation,all of them were lonely.
train,Reid,5,Action,Action,Action,3,Action,Action,"With this movie still playing out of my head, I started writing down the details."
train,Reid,5,Action,Action,Action,3,Action,Action,"And then I went back to sleep,"
train,Reid,5,Evaluation,Action,Stative- Local Context,1,Evaluation,Evaluation,"and after a week or two, the vivid dream shuffled into the gray area in the back of my mind."
train,Reid,5,Action,Action,Action,3,Action,Action,"Several weeks later, I came across an article on the boarding school experience of a Lakota boy."
train,Reid,5,Evaluation,Action,Evaluation,2,Evaluation,Evaluation,"I realized that was what I had seen in that dream in Wausau--an Indian boarding school,"
train,Reid,5,Evaluation,Stative- Local Context,Evaluation,2,Evaluation,Evaluation,"and judging by the furniture and nightclothes, it had been around 1900."
train,Reid,5,Evaluation,Stative- Local Context,Evaluation,2,Evaluation,Evaluation,"My curiosity piqued,"
train,Reid,5,Action,Action,Action,3,Action,Action,"I started researching,"
train,Reid,5,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"and the more I found out, the clearer the story of the girl in the kitchen became, like a sculptor removing wood to find the shape that lies underneath."
train,Reid,5,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"Researching is enjoyable to me,"
train,Reid,5,Action,Stative - Implied Action,Evaluation,1,Stative - Implied Action,Action,and I immersed myself in it.
train,Reid,5,Action,Action,Action,3,Action,Action,My kids and I traveled to South Dakota to visit existing and closed boarding schools.
train,Reid,5,Action,Action,Action,3,Action,Action,I bought and read book after book on the subject.
train,Reid,5,Action,Action,Action,3,Action,Action,I visited websites created by Lakota individuals and groups.
train,Reid,5,Action,Action,Action,3,Action,Action,I learned bits of the language.
train,Reid,5,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"Last month, however, it became clear to me that I had enough research"
train,Reid,5,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,and was just scared to start writing.
train,Reid,5,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,My biggest concern was what the Lakota people would think of me writing this story.
train,Reid,5,Orientation,Orientation,Orientation,3,Orientation,Orientation,"Native Americans have had their culture appropriated in every way imaginable,"
train,Reid,5,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,and I would just be one more person stealing their history.
train,Reid,5,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"Even if I could overcome that hurdle, what if I couldn't pull off a story of this scope?"
train,Reid,5,Orientation,Orientation,Orientation,3,Orientation,Orientation,"I write mysteries, which are challenging but also familiar."
train,Reid,5,Orientation,Evaluation,Evaluation,2,Evaluation,Evaluation,"This would be historical, literary fiction, which is a whole other beast."
train,Reid,5,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"If I could even get the blessings of the Lakota to write the novel, and if I could even pull off writing good literary fiction, what if I couldn't get a publisher and all that stress and time was for nothing?"
train,Reid,5,Evaluation,Evaluation,Orientation,2,Evaluation,Evaluation,"And then finally, there is the simple act of writing, which is invigorating but is also emotional work."
train,Reid,5,Evaluation,Orientation,Orientation,2,Orientation,Orientation,"Isabel Allende, one of my favorite authors, calls this work ""returning to the caves of dreams and human memory."""
train,Reid,5,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"It's thrilling,"
train,Reid,5,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,but it's also lonely and sometimes scary.
train,Reid,5,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,It can be hard to make yourself go into the caves every night.
train,Reid,5,Evaluation,Orientation,Evaluation,2,Evaluation,Evaluation,So that's where I am.
train,Reid,5,Stative- Local Context,Orientation,Stative- Local Context,2,Stative- Local Context,Orientation,"I've written six pages,"
train,Reid,5,Evaluation,Orientation,Evaluation,2,Evaluation,Evaluation,"and I like what I've written,"
train,Reid,5,Stative- Local Context,Orientation,Stative- Local Context,2,Stative- Local Context,Orientation,"but that was a week ago,"
train,Reid,5,Evaluation,Orientation,Evaluation,2,Evaluation,Evaluation,and I've been afraid to go back.
train,Reid,5,Orientation,Orientation,Orientation,3,Orientation,Orientation,"I have a full-time job,"
train,Reid,5,Orientation,Orientation,Orientation,3,Orientation,Orientation,"I'm raising two kids,"
train,Reid,5,Orientation,Orientation,Orientation,3,Orientation,Orientation,"my house needs cleaning,"
train,Reid,5,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"I could volunteer more in my son's classroom,"
train,Reid,5,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,shouldn't I put the storm windows on?
train,Reid,5,Evaluation,Action,Evaluation,2,Evaluation,Evaluation,"That's what I tell myself,"
train,Reid,5,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"but the truth is, I'm afraid."
train,Reid,6,Orientation,Orientation,Orientation,3,Orientation,Orientation,"As I type, the frightening couple next door is breaking up -"
train,Reid,6,Orientation,Orientation,Orientation,3,Orientation,Orientation,"I know this because the hallway outside my front door is filled with clothing on hangers, garbage bags full of personal sundry items, a laptop bag, a camera bag, and a crock pot."
train,Reid,6,Evaluation,Action,Evaluation,2,Evaluation,Evaluation,She must have finally decided to leave his abusive ass - and take the slow cooker with her.
train,Reid,6,Evaluation,Orientation,Evaluation,2,Evaluation,Evaluation,"I have no idea where she went,"
train,Reid,6,Action,Action,Action,3,Action,Action,but I saw him coming out of the freight elevator
train,Reid,6,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"and I certainly hope that (a) he helped her pack whatever vehicle she drove away in, and (b) that the enormous bruise/abrasion on his head was from that banging I heard earlier tonight."
train,Reid,6,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"As in, him beating his own head against the wall."
train,Reid,6,Evaluation,Orientation,Evaluation,2,Evaluation,Evaluation,The dude's got rage issues for sure.
train,Reid,6,Evaluation,Orientation,Evaluation,2,Evaluation,Evaluation,So I guess my nosy neighbor days are over...
train,Reid,6,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,and I'm not really sad about that.
test,Reid,7,Orientation,Orientation,Orientation,3,Orientation,Orientation,"That's my new favorite t-shirt, which I saw at the Ren Fest last Saturday."
test,Reid,7,Evaluation,Orientation,Evaluation,2,Evaluation,Evaluation,I had a great time!
test,Reid,7,Orientation,Action,Orientation,2,Orientation,Orientation,I went with my friend Christine and my two kids.
test,Reid,7,Orientation,Orientation,Orientation,3,Orientation,Orientation,They were all in costume:
test,Reid,7,Orientation,Orientation,Orientation,3,Orientation,Orientation,"Christine (""I feel pretty. I'm pretty!"") was a wench,"
test,Reid,7,Orientation,Orientation,Orientation,3,Orientation,Orientation,"Zoe was a queen,"
test,Reid,7,Orientation,Orientation,Orientation,3,Orientation,Orientation,and Xander was a gladiator (time travel is acceptable at the Ren Fest).
test,Reid,7,Action,Orientation,Orientation,2,Orientation,Orientation,"I broke down and bought and wore a classy wench costume, too,"
test,Reid,7,Action,Orientation,Orientation,2,Orientation,Orientation,and was cinched into it so tight that I had a boob.
test,Reid,7,Evaluation,Action,Evaluation,2,Evaluation,Evaluation,"I'll post real pix when I get them,"
test,Reid,7,Not Story,Orientation,Not Story,2,Not Story,Not Story,"but in the meanwhile, let me introduce you to Ariana Swordswallower."
test,Reid,7,Not Story,Evaluation,Not Story,2,Not Story,Not Story,"If you have a minute, go to Bill's blog,"
test,Reid,7,Not Story,Evaluation,Not Story,2,Not Story,Not Story,"scroll down to the Hobbit post,"
test,Reid,7,Not Story,Evaluation,Not Story,2,Not Story,Not Story,and check out the Infinite Cat Project.
test,Reid,7,Not Story,Evaluation,Not Story,2,Not Story,Not Story,I can't stop thinking about it!
test,Reid,7,Not Story,Action,Stative - Implied Action,1,Not Story,Not Story,"And now, I begin to write August Moon."
test,Reid,7,Not Story,Evaluation,Evaluation,2,Evaluation,Evaluation,Wish me luck.
train,Reid,8,Orientation,Orientation,Orientation,3,Orientation,Orientation,"Last night, I met with two book clubs at the Shoreline in Battle Lake--the Clitherall Lake Book Club and the Battle Lake Book Club (the Laker Girls)."
train,Reid,8,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,It was fun!
train,Reid,8,Orientation,Orientation,Orientation,3,Orientation,Orientation,"They had M Ms and good questions,"
train,Reid,8,Orientation,Orientation,Orientation,3,Orientation,Orientation,and there were no haters.
train,Reid,8,Action,Action,Orientation,2,Action,Action,"I even picked up some solid gossip,"
train,Reid,8,Stative- Local Context,Orientation,Orientation,2,Orientation,Orientation,like:Battle Lake is the only Minnesota town to birth TWO Princess Kays of the Milky Way.
train,Reid,8,Stative- Local Context,Orientation,Orientation,2,Orientation,Orientation,"And one of them was at the meeting last night, cute as a freakin' button."
train,Reid,8,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,I should read books by Shirley Hazzard.
train,Reid,8,Evaluation,Orientation,Evaluation,2,Evaluation,Evaluation,Women never forget their first loves
train,Reid,8,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,(which means I've never had one
train,Reid,8,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,because I don't remember him.
train,Reid,8,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,Oooh!
train,Reid,8,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,Or maybe it means I'm not a woman.).
train,Reid,8,Orientation,Orientation,Evaluation,2,Orientation,Orientation,Men in Otter Tail County don't read.
train,Reid,8,Orientation,Orientation,Evaluation,2,Orientation,Orientation,"They CAN read, but choose not to."
train,Reid,8,Evaluation,Orientation,Evaluation,2,Evaluation,Evaluation,"It's hard to juggle The Secret Life of Bees and the thirty ought the same time,"
train,Reid,8,Evaluation,Orientation,Evaluation,2,Evaluation,Evaluation,"so something's gotta go,"
train,Reid,8,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,and it sure ain't gonna be the gun.
train,Reid,8,Evaluation,Stative- Local Context,Evaluation,2,Evaluation,Evaluation,That's my hypothesis.
train,Reid,8,Evaluation,Stative- Local Context,Evaluation,2,Evaluation,Evaluation,Fun stuff.
train,Reid,8,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,I'd do it again.
train,Reid,8,Action,Action,Orientation,2,Action,Action,"I also had time before the book club meeting to run up Inspiration Peak (a site featured prominently in the forthcoming Knee High by July),"
train,Reid,8,Evaluation,Stative- Local Context,Evaluation,2,Evaluation,Evaluation,which is gorgeous this time of year.
train,Reid,8,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,Make a trip there!
train,Reid,8,Evaluation,Action,Evaluation,2,Evaluation,Evaluation,"I was just going to sign off,"
train,Reid,8,Evaluation,Action,Action,2,Action,Action,but then obsessively checked my amazon.com rankings
train,Reid,8,Evaluation,Action,Evaluation,2,Evaluation,Evaluation,and realized that the official June Bug cover is out there!
train,Reid,8,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,Whee!
train,Reid,8,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"Great work, Lisa!"
train,Reid,9,Orientation,Orientation,Evaluation,2,Orientation,Orientation,First things first.
train,Reid,9,Orientation,Orientation,Orientation,3,Orientation,Orientation,"I was invited to attend an Alexandria book club reading May Day on Saturday,"
train,Reid,9,Evaluation,Orientation,Evaluation,2,Evaluation,Evaluation,and it was a blast!
train,Reid,9,Evaluation,Action,Evaluation,2,Evaluation,Evaluation,"I was wondering where all the smart, hip chicks (besides the ones I work with) were hiding out in this town,"
train,Reid,9,Evaluation,Orientation,Evaluation,2,Evaluation,Evaluation,and now I know!
train,Reid,9,Orientation,Orientation,Evaluation,2,Orientation,Orientation,"Great food, great fun, great wine, and some good ghost stories."
train,Reid,9,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"That's a Saturday night worth having, I tell you."
train,Reid,9,Orientation,Orientation,Orientation,3,Orientation,Orientation,"And what really tickled me was that the host of the party lives on Britney's Lane, which was named after Britney Spears."
train,Reid,9,Evaluation,Action,Evaluation,2,Evaluation,Evaluation,Hee hee!
train,Reid,9,Evaluation,Orientation,Evaluation,2,Evaluation,Evaluation,She hates that.
train,Reid,9,Evaluation,Orientation,Evaluation,2,Evaluation,Evaluation,"The host, not Britney Spears."
train,Reid,9,Action,Action,Action,3,Action,Action,Next: I overheard this at the riddle booth at the Ren Fest
train,Reid,9,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,and can't for the life of me solve it.
train,Reid,9,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,Suggestions?
train,Reid,9,Evaluation,Orientation,Stative- Local Context,1,Orientation,Orientation,"""I have no mother and no father"
train,Reid,9,Evaluation,Orientation,Stative- Local Context,1,Evaluation,Evaluation,and was born without skin.
train,Reid,9,Evaluation,Orientation,Stative- Local Context,1,Orientation,Orientation,I made a noise at birth
train,Reid,9,Evaluation,Orientation,Stative- Local Context,1,Orientation,Orientation,and haven't made a sound since.
train,Reid,9,Evaluation,Orientation,Stative- Local Context,1,Evaluation,Evaluation,"Who am I?"""
train,Reid,9,Orientation,Action,Orientation,2,Orientation,Orientation,"And finally, the local grocery stopped carrying my favorite cereal, Rice Twice,"
train,Reid,9,Action,Action,Evaluation,2,Action,Action,and so now I had to order a case of it online.
train,Reid,9,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,What is this world coming to?
train,Reid,9,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"It's delicious, by the way."
train,Reid,9,Orientation,Orientation,Orientation,3,Orientation,Orientation,"Crispy brown rice mixed with puffed rice--crunchy, puffy, sweet!"
train,Reid,9,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,You should order yourself a gross and be cool like me.
train,Reid,10,Orientation,Orientation,Orientation,3,Orientation,Orientation,The Blue Ridge Parkway ... that was one of my destinations today.
train,Reid,10,Orientation,Orientation,Orientation,3,Orientation,Orientation,The weather forecast did not call for the drizzly rain that fell most of the day in the Valley and surrounding mountains.
train,Reid,10,Orientation,Orientation,Orientation,3,Orientation,Orientation,"The original forecast for a hot 90 degrees and sunny materialized into a foggy, rainy day in the mid-70s ..."
train,Reid,10,Evaluation,Orientation,Evaluation,2,Evaluation,Evaluation,perfect for a solo trek.
train,Reid,10,Evaluation,Orientation,Evaluation,2,Evaluation,Evaluation,"I love rainy days even in the mountains,"
train,Reid,10,Evaluation,Orientation,Evaluation,2,Evaluation,Evaluation,and I enjoy camping in the rain (minus young children who turn a cozy experience into a miserable expedition because they don't want to curl up with a book in the tent and listen to the rain).
train,Reid,10,Action,Action,Orientation,2,Action,Action,Afton was straight ahead as I headed for the Blue Ridge on I-64....
train,Reid,10,Stative- Local Context,Orientation,Orientation,2,Orientation,Orientation,The foggy view from Afton Mountain....
train,Reid,10,Stative- Local Context,Orientation,Orientation,2,Orientation,Orientation,The foggy view of the Rockfish Valley from the Parkway....
train,Reid,10,Stative- Local Context,Evaluation,Evaluation,2,Evaluation,Evaluation,It wasn't weather that blocked this view.
train,Reid,10,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"Perhaps it's time for a ""Rename the Sign"" contest?"
train,Reid,10,Stative- Local Context,Orientation,Orientation,2,Orientation,Orientation,The Blue Ridge near Wintergreen with wisps of clouds....
train,Reid,10,Stative- Local Context,Orientation,Orientation,2,Orientation,Orientation,One thing about a foggy day ... the deer will be out during the day and this was no exception.
train,Reid,10,Action,Action,Action,3,Action,Action,I saw a number of them along the way including this one drinking from a puddle.
train,Reid,10,Action,Action,Evaluation,2,Action,Action,She paid me no mind ...
train,Reid,10,Action,Action,Action,3,Action,Action,"looked up for a moment,"
train,Reid,10,Action,Action,Action,3,Action,Action,then went back to drinking.
train,Reid,10,Action,Action,Action,3,Action,Action,I moved on....
train,Reid,10,Action,Action,Action,3,Action,Action,"I had turned off the Blue Ridge Parkway onto the Howardsville Turnpike (background), the highway that was used years ago to cross the mountains from the Shenandoah Valley to the Rockfish Valley."
train,Reid,10,Action,Action,Action,3,Action,Action,I was heading down that gravel roadway through the national forest to Sherando.
train,Reid,10,Orientation,Orientation,Orientation,3,Orientation,Orientation,Back Creek follows Howardsville Turnpike down the mountain.
train,Reid,10,Stative- Local Context,Orientation,Orientation,2,Orientation,Orientation,In the background are the mountains where I was on the Parkway before heading downward to the Valley.
train,Reid,10,Action,Action,Action,3,Action,Action,"At the end of Howardsville Turnpike, I pulled into the church parking lot to look back at Humpback Rock and the Blue Ridge (background)...."
train,Reid,10,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,It was a good day.
train,Reid,10,Orientation,Not Story,Evaluation,1,Evaluation,Evaluation,Photos by SWAC Girl
test,Reid,11,Orientation,Orientation,Orientation,3,Orientation,Orientation,(Note: My sister sent this story about getting her hair cut in Morocco.)
test,Reid,11,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"Simple you may say...go in, sit down, cut hair, voila."
test,Reid,11,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,No.
test,Reid,11,Orientation,Action,Orientation,2,Orientation,Orientation,"I was given a gift certificate to the fancy salon in Rabat and really really needed a haircut,"
test,Reid,11,Orientation,Action,Action,2,Action,Action,so I managed to make an appointment for 11:00.
test,Reid,11,Action,Action,Action,3,Action,Action,"I showed up at 11:00,"
test,Reid,11,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,this was a mistake.
test,Reid,11,Action,Action,Action,3,Action,Action,"While my name clearly was written in the slot that said 11:00, the women were so perplexed by my promptness that they ran off in all directions looking for the owner, Romaine."
test,Reid,11,Orientation,Orientation,Orientation,3,Orientation,Orientation,"Romaine has the look typical of stylists in Rabat, think Luke from General Hospital, circa 1980."
test,Reid,11,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"Oh, la la."
test,Reid,11,Stative - Implied Action,Orientation,Evaluation,1,Orientation,Orientation,"Romaine is ""simply enchanted"" by my blonde hair and green eyes"
test,Reid,11,Evaluation,Orientation,Evaluation,2,Evaluation,Evaluation,"and is ""thrilled to have the opportunity"" to cut my tangled, salt water, windblown mess."
test,Reid,11,Stative - Implied Action,Evaluation,Evaluation,2,Evaluation,Evaluation,"If I will just be patient he will return--After cutting all the people who are now showing up for their 9:30, 10:00 and 10:30 appointments."
