"dialogue_num","narrative_num","label","text"
"arg4","8","Evaluation","and their reliability as well."
"arg4","9","Action","Writer 47 is suggesting "
"arg4","9","Evaluation","that the Republian party has very little to do with the radical anti-gays that writer 48 claims they quote and reference all the time."
"arg5","0","Action","Writer 52 believes "
"arg5","0","Evaluation","that marriage is between a man and a woman that is in love and interested in having a child."
"arg5","0","Action","Writer 53 thinks this is just writer 52's conception of marriage "
"arg5","0","Evaluation","and doesn't understand why this should be written into law."
"arg5","0","Action","Writer 53 believes "
"arg5","0","Evaluation","that the good parts of marriage, the ones that really matter, still apply in a homosexual relationship."
"arg5","0","Action","Writer 53 is considering "
"arg5","0","Evaluation","that love and care for one another is much more the essence of a marriage than reproduction and different sexual organs, "
"arg5","0","Action","using the example of a marriage between two older people that clearly wouldn't bear a child."
"arg5","0","Action","Writer 52 thinks "
"arg5","0","Evaluation","that some marriages are more respected than others, "
"arg5","0","Evaluation","and the ones that are most respected are ones that bear children out of love"
"arg5","1","Action","Writer 52 said "
"arg5","1","Evaluation","that gay marriage should not be legal "
"arg5","1","Evaluation","because it would not hold as much meaning as straight."
"arg5","1","Orientation","To 52 the meanings of marriage legally and culturally are that of age and consent, two different genders, and of reproduction and the creation of a family unit."
"arg5","1","Action","53 disagrees, stating "
"arg5","1","Evaluation","that not all marriages include procreation "
"arg5","1","Evaluation","and that 52 can not say for sure what the cultural views of America are."
"arg5","2","Action","Writer 52 believes "
"arg5","2","Evaluation","that a culteral agreement is between two people of the opposite sex "
"arg5","2","Evaluation","and this is because they can mate "
"arg5","2","Evaluation","while two people of the same sex are unable to do so."
"arg5","2","Orientation","They present themselves very strongly and are unsympathetic to the opinion of writer 53."
"arg5","2","Action","Writer 53 claims that they disagree "
"arg5","2","Evaluation","and it is not up to a single person to say what a culteral agreement is or is not. "
"arg5","3","Action","Writer 52 claims "
"arg5","3","Evaluation","that marriage should be between a man and a woman for the purpose of reproduction, "
"arg5","3","Action","while 53 claims "
"arg5","3","Evaluation","that it should be between two people who love each other."
"arg5","3","Evaluation","Both agree "
"arg5","3","Evaluation","that the other legal constraints are reasonable."
"arg5","3","Action","However, 53 believes "
"arg5","3","Evaluation","that it should be legal for homosexuals to marry, "
"arg5","3","Action","while 52 believes "
"arg5","3","Evaluation","that because  gay marriage is "wrong" it should remain illegal."
"arg5","4","Action","One writer argued for gay marriage "
"arg5","4","Action","and the other argued against it, saying "
"arg5","4","Evaluation","that the purpose of marriage was above all reproduction "
"arg5","4","Evaluation","and this should not be disturbed."
"arg5","4","Action","The other writer argued "
"arg5","4","Evaluation","that no one should be able to infringe on the rights of others just because of an opinion. "
"arg5","5","Action","52 argues "
"arg5","5","Evaluation","that culturally defined marriages are ones that have a chance for reproduction "
"arg5","5","Evaluation","and that that is why the legal definition for marriage excludes homosexuals."
"arg5","5","Action","53 says "
"arg5","5","Evaluation","that this cultural belief is out-dated "
"arg5","5","Evaluation","and what should define a marriage is that two people love each other."
"arg5","6","Orientation","Writer 52 and 53 are arguing whether gay marriage goes against the cultural and legal definition of marriage."
"arg5","6","Action","Writer 52 states "
"arg5","6","Evaluation","that marriage is defined as an act to promote reproduction "
"arg5","6","Evaluation","while 53 argures that its about love."
"arg5","7","Orientation","Homosexual couples don't fit into the accepted standard of marriage "
"arg5","7","Evaluation","therefore they should be excluded, "
"arg5","7","Action","the other writer says "
"arg5","7","Evaluation","that the cultural standard is oppressive, and of a majority that ignores the rights of the minority"
"arg5","8","Evaluation","writer 52 is dumb "
"arg5","8","Evaluation","because he descibes mariage as a culture thing but then defines it by his own words "
"arg5","8","Evaluation","and writer 53 just wants to know who makes up these "cultural appropriateness"."
"arg5","9","Evaluation","writer 53 talks about how marriage is up for individual people to decide, "
"arg5","9","Evaluation","while writer 52 talks about how the legal and cultural definitions and how homosexuality does not fit these definitions. "
